,name,means,de,mde,mad
0,Aerial.bmp,6.7993971052988,6.370002589094722,6.346110571987146,6.28183506400662
1,airfield.bmp,7.6006759594811,6.335829096007266,6.200262715663563,6.115437150961462
2,airplane.bmp,6.7252351340622285,5.192151203471434,5.384822331430247,4.951908408239194
3,baboonTMW.bmp,7.133698049304662,6.2313302194174325,6.065258882235343,6.049761753103894
4,balloon.bmp,7.305988276498695,4.676627411553304,4.567023292310484,3.7505636684922665
5,balloon_noise.bmp,7.312371797834483,4.6845388076932215,4.569673680779016,3.760032290603293
6,BARB.bmp,7.460039777880828,6.003714662640111,5.863538205081775,5.321273759881924
7,BARB2.bmp,7.389961336707258,5.914601835716394,5.700214002599458,5.371247030259055
8,barb512.bmp,7.551742197171315,5.994919226010384,5.846057247470856,5.308187180040494
9,BOARD.bmp,6.751369270519478,4.478934073668101,4.893146708152187,3.8201689292730623
10,boat512.bmp,7.105093983534364,5.628897223118144,5.799379788610794,5.270987363778009
11,boats.bmp,7.039440021890793,5.17186396502918,5.33406925248188,4.660201878280188
12,bridge.bmp,7.612662167103905,6.19504687422941,6.272713670985224,5.950703739722465
13,bridge256.bmp,7.51297734792198,6.214164656746733,6.3929696118346575,5.996127483253015
14,camera256.bmp,6.973988575858207,5.15181122109723,5.224229210786021,4.781323832928761
15,couple.bmp,7.337503085596223,5.876122138885444,5.893505354835794,5.109490957737923
16,couple256.bmp,6.343807797279553,5.386308425213623,5.370505862605261,4.615757292336641
17,crowd512.bmp,6.968875486075577,6.200432525650088,6.134625292902958,5.794662547054992
18,EARTH.bmp,5.252130520222957,4.741142879199152,4.695156543549725,4.578020435084787
19,elaine.bmp,7.455792217079169,5.606358818211521,5.410393743056358,5.03349258771805
20,ELIF.bmp,6.102672527375886,4.744612281699841,4.947914835810594,4.4251977223114585
21,finger.bmp,7.167870318298137,6.8456907279282735,6.611422682599094,6.784109008131519
22,FROG512.BMP,6.9489226868052185,5.869151171737371,5.806951873936778,5.74906662463197
23,GIRL.bmp,7.211852779815589,5.725185262607861,5.554540872285734,5.203273513206425
24,GOLD.bmp,7.502927016170347,5.421554004282724,5.520398702298256,4.95283180479806
25,GOLDHILL.BMP,7.407802408465884,5.566451755968393,5.656367852967116,5.139234111017058
26,harbour512.bmp,6.539696975140727,5.021140947903146,5.401220129822672,4.843479795470811
27,HOTEL.bmp,7.492569844258439,5.644324949494362,5.707400045587002,5.085551378601256
28,lax512.bmp,6.63861809094681,5.9446742820322145,5.7539422780075995,5.462067105995674
29,lenaTMW.bmp,7.53029014705161,5.973760866456503,5.695503556680692,5.131157835314794
30,lennagrey.bmp,7.391431320626797,5.813836974408533,5.541977204424553,4.937864661968067
31,man512.bmp,7.248159225175723,5.94801701914414,5.8064392142416095,5.491626350871001
32,noisesquare.bmp,4.114867673128367,3.967056598598293,3.8745821932446796,3.818462897745293
33,OMAHA.bmp,7.438018391339884,7.141743756048569,6.895302088243443,6.84898030791439
34,peppersTMW.bmp,7.5509723383838745,5.663923187750019,5.557933842297,4.959505752641875
35,SAILBOAT.bmp,7.239532233042115,5.780575569359664,5.727559004482228,5.380788193773351
36,seismic.bmp,5.182019410640417,3.7848494298954782,5.20838219087692,4.175657075591954
37,SENA.bmp,6.750098149187297,4.797344413190778,5.042326258451806,4.371429739903096
38,SENSIN.bmp,7.233915301940805,5.917480757809522,5.998097625368203,5.571654132690314
39,shapes.bmp,6.922705847581626,4.406801831635238,4.87229326859076,3.495424329543671
40,SINAN.bmp,7.2657683238711295,5.716536368583265,5.684344151863273,5.1043667474391405
41,Tank512.bmp,6.2305837767408025,5.141670446678229,5.115094761596233,4.9088383903191435
42,Truck512.bmp,6.475817324611536,5.150306280965752,5.380798438475827,5.125280223853351
43,woman1.bmp,7.1097695848092055,5.742285408693358,5.512278548353257,5.1423611380721175
44,woman2.bmp,7.263913171858441,4.999391138851938,4.933760312954314,4.321374965121916
45,ZELDA.bmp,7.299167607896141,5.363629223671095,5.193767880388536,4.345018399339224
