,name,image_size,size_our,size_jpg,psnr_our,psnr_jpg
0,Aerial.bmp,"(512, 512)",275330,269688,28.03344042020433,32.53828978583574
1,airfield.bmp,"(512, 512)",272151,262248,27.25957217342109,31.422009700917506
2,airplane.bmp,"(512, 512)",249588,243384,32.67533178658099,37.980781332627835
3,baboonTMW.bmp,"(512, 512)",270604,256640,25.509193451523515,30.443229990993252
4,balloon.bmp,"(576, 720)",346352,319144,40.11528711591157,44.6200369565527
5,balloon_noise.bmp,"(576, 720)",346593,323776,40.28460110637968,44.280314858764704
6,BARB.bmp,"(576, 720)",382567,375624,30.1062191574097,34.565567005134874
7,BARB2.bmp,"(576, 720)",381719,374904,29.841878122577963,33.683678297963
8,barb512.bmp,"(512, 512)",256362,251344,29.826088958014058,34.291392406635225
9,BOARD.bmp,"(576, 720)",348597,326984,35.7221087196437,40.36954571848341
10,boat512.bmp,"(512, 512)",256798,253056,31.23598839289641,34.757579228172006
11,boats.bmp,"(576, 720)",367045,351648,33.604730018116896,37.788158786943065
12,bridge.bmp,"(512, 512)",271303,263936,27.495568707648165,31.289755187758615
13,bridge256.bmp,"(256, 256)",96223,95272,27.384530485476645,31.473177502812007
14,camera256.bmp,"(256, 256)",90742,86400,28.582167747866478,35.67444436858267
15,couple.bmp,"(512, 512)",254402,246272,31.03377278358573,34.53184445666168
16,couple256.bmp,"(256, 256)",89739,87688,34.56234430041691,39.98553065702118
17,crowd512.bmp,"(512, 512)",266987,263360,31.923645216044807,36.35259969709334
18,EARTH.bmp,"(256, 256)",89289,84184,30.600233471955015,35.6603366383184
19,elaine.bmp,"(512, 512)",254278,239168,33.51182289060504,34.0715229195401
20,ELIF.bmp,"(256, 256)",88505,85232,37.49570353516728,45.06169312211281
21,finger.bmp,"(512, 512)",285064,269848,28.59402232969665,31.266919995096085
22,FROG512.BMP,"(512, 512)",267583,255776,26.839034298019435,30.01003934875206
23,GIRL.bmp,"(576, 720)",382263,372368,35.945865683485906,38.990030007228185
24,GOLD.bmp,"(576, 720)",377536,372128,33.144496815815785,35.49061363126566
25,GOLDHILL.BMP,"(512, 512)",256078,252584,32.506866989293215,34.78730887080308
26,harbour512.bmp,"(512, 512)",248774,247416,28.01683749287117,33.06024496797266
27,HOTEL.bmp,"(576, 720)",377643,370376,31.316313477803067,35.80903859723659
28,lax512.bmp,"(512, 512)",261445,249576,27.003499410728807,30.97705170176413
29,lenaTMW.bmp,"(512, 512)",253752,243104,32.25263876325212,35.87560314966495
30,lennagrey.bmp,"(512, 512)",250029,245880,33.76183390438377,37.71130929034163
31,man512.bmp,"(512, 512)",261855,251488,31.424136404492334,34.85991416374387
32,noisesquare.bmp,"(256, 256)",87721,79608,32.33399317491103,31.769266576425558
33,OMAHA.bmp,"(256, 256)",99412,91808,23.366010111205608,29.78926829785903
34,peppersTMW.bmp,"(512, 512)",251092,242480,33.330907423120244,36.18146657777045
35,SAILBOAT.bmp,"(512, 512)",257460,254336,31.33656283698473,34.548034234167304
36,seismic.bmp,"(512, 512)",241945,233520,41.80029826371139,45.243891590431815
37,SENA.bmp,"(256, 256)",88249,86592,37.27120060563878,43.38984819318046
38,SENSIN.bmp,"(256, 256)",93352,86856,36.450077762977216,42.16590985198601
39,shapes.bmp,"(512, 512)",234435,227320,36.51550146392445,40.760613849580444
40,SINAN.bmp,"(256, 256)",91412,85584,37.87216951438053,43.71057100530208
41,Tank512.bmp,"(512, 512)",255080,244808,33.63878928134219,34.656262409392625
42,Truck512.bmp,"(512, 512)",257761,254600,34.25174520530385,35.58615696618003
43,woman1.bmp,"(512, 512)",253652,240976,31.325796098998214,34.683161557248255
44,woman2.bmp,"(512, 512)",239332,231568,39.30529490183813,42.81953196867282
45,ZELDA.bmp,"(576, 720)",359189,350448,37.25579981108494,40.13745795451392
