,name,psnr,ssim,mse,nrmse,psnr_skimage
0,Aerial.bmp,31.663551814293275,0.8747296035890468,137.52616119384766,0.0634484318873553,26.74695040291361
1,airfield.bmp,30.867093240392084,0.7937999398366121,156.11861038208008,0.08036070420255724,26.196256839138393
2,airplane.bmp,34.64267061752126,0.9236069132518988,49.78022384643555,0.03821987521628014,31.160235157015393
3,baboonTMW.bmp,29.995104272996656,0.789299814489144,219.1715850830078,0.10893773228140671,24.722961123401085
4,balloon.bmp,39.31253683515348,0.9532805606003498,10.635033275462963,0.02923885346754003,37.863415077831505
5,balloon_noise.bmp,39.12339957459715,0.9495612066331982,11.251280381944444,0.030197886820147967,37.6187841342743
6,BARB.bmp,32.285174781864946,0.8836525663946886,89.97357494212963,0.07899645411030377,28.589653841166843
7,BARB2.bmp,32.1664456387903,0.8852911228570775,89.54397424768518,0.07543439468267786,28.61043995015969
8,barb512.bmp,32.149125776365615,0.8805633329962941,95.25249099731445,0.07538094975099613,28.34204018911411
9,BOARD.bmp,36.422552216590546,0.9312596115996051,28.913657407407406,0.045926063639886154,33.51977330027769
10,boat512.bmp,32.81082134731197,0.8650086378710077,71.71157836914062,0.06143056994765093,29.574910794557972
11,boats.bmp,34.34854953431599,0.9128415189040981,43.60470679012346,0.050907074726908086,31.73546990345885
12,bridge.bmp,30.38317381940292,0.8038189377420657,157.6635971069336,0.09943284694478582,26.153489300664475
13,bridge256.bmp,30.31248538202061,0.8322823276309929,141.05752563476562,0.09458996490897773,26.63684099483477
14,camera256.bmp,33.793704286303374,0.9054953961942444,94.87281799316406,0.07263613046164541,28.359385603114163
15,couple.bmp,32.453885285795494,0.863121571771567,74.45365524291992,0.06700306792163417,29.41194336914542
16,couple256.bmp,35.57686013223853,0.9339417675631319,29.817550659179688,0.11963013208878633,33.38608395087328
17,crowd512.bmp,33.41387834589409,0.9171154679313568,64.5794792175293,0.08151583144385474,30.029858224144732
18,EARTH.bmp,33.51735015007274,0.9325333384859607,65.99229431152344,0.08417876567720824,29.935871334072353
19,elaine.bmp,33.19950881283312,0.8363963762004709,40.894996643066406,0.04443249247298156,32.01410183990812
20,ELIF.bmp,37.81320663753238,0.9587250600549613,16.707916259765625,0.054381488484857625,35.90158070957425
21,finger.bmp,29.939935641568614,0.9007539458407063,131.6424789428711,0.09251658591665231,26.936843090241126
22,FROG512.BMP,29.866413848241493,0.7281467154581701,168.35796356201172,0.10131031512882524,25.86846696934774
23,GIRL.bmp,35.24422930266311,0.9169070160781853,26.809866898148147,0.03667011708282382,33.84785703003766
24,GOLD.bmp,33.34885797627884,0.8668410383013185,45.42855420524691,0.058945208284981745,31.557514455517396
25,GOLDHILL.BMP,32.91286170129436,0.8628536441319733,52.18085861206055,0.05895540342398781,30.95569139928697
26,harbour512.bmp,32.23989925250265,0.8563259321158312,127.0799560546875,0.08536147403836797,27.090033048954414
27,HOTEL.bmp,33.376557020765134,0.8959744761195326,67.13118007330247,0.07531033404432236,29.861560793195316
28,lax512.bmp,30.926866264153436,0.7799502316390584,160.82717514038086,0.14213837980419242,26.067209270502744
29,lenaTMW.bmp,33.624761937750804,0.8703931348546662,52.22501754760742,0.06436212911660266,30.95201766292581
30,lennagrey.bmp,34.603078687159055,0.8994387453437315,39.03156280517578,0.04712330355606253,32.2166442029442
31,man512.bmp,33.02315821557665,0.8705200990296655,64.1380615234375,0.06598380427819585,30.059645309754636
32,noisesquare.bmp,32.92909670136598,0.8253799065454281,35.692535400390625,0.031127672911997698,32.60502961937475
33,OMAHA.bmp,29.90310935957371,0.837767655182614,327.28887939453125,0.10437426403743595,22.9814911174579
34,peppersTMW.bmp,34.22625383467747,0.8743319312253747,42.657779693603516,0.04972477703763874,31.830821138780443
35,SAILBOAT.bmp,32.998208574091116,0.8770949095154126,64.40685653686523,0.059162706314274935,30.04148257520226
36,seismic.bmp,39.97777742599766,0.9725639355927098,7.469451904296875,0.02126743888773823,39.397916256753376
37,SENA.bmp,37.54559833583859,0.9542228417435014,15.212020874023438,0.043511473634459286,36.30893448186545
38,SENSIN.bmp,35.372035822716676,0.9467762822063198,23.956588745117188,0.045484343544338314,34.33655383321085
39,shapes.bmp,38.455858237162715,0.9612331106502202,22.223194122314453,0.05342031605392285,34.66273880970484
40,SINAN.bmp,36.58498858976648,0.9492657727165201,18.150177001953125,0.032493334326119845,35.54199496201195
41,Tank512.bmp,33.633946497575636,0.8499876441446337,37.7513313293457,0.045471794166094905,32.36148088908182
42,Truck512.bmp,33.955589124372445,0.88301324888669,33.52116012573242,0.05240535355361303,32.87761320256771
43,woman1.bmp,33.34594968683283,0.8615922853786023,65.14711380004883,0.057014587493249266,29.99185180857342
44,woman2.bmp,37.73118710345789,0.9415753706819835,13.121040344238281,0.029160899198225978,36.95112090016557
45,ZELDA.bmp,36.58926630147866,0.9163103208493818,18.55680217978395,0.03682507742251022,35.4457722278517
